Provinsi/Kabupaten/Kota,Laki-laki,Perempuan
ACEH,14025,8495
SIMEULUE,11709,3560
Simeulue,11709,3560
ACEH SINGKIL,15346,6062
Aceh Singkil,15346,6062
ACEH SELATAN,11317,7294
Aceh Selatan,11317,7294
ACEH TENGGARA,12210,8005
Aceh Tenggara,12210,8005
ACEH TIMUR,14215,5937
Aceh Timur,14215,5937
ACEH TENGAH,11755,9735
Aceh Tengah,11755,9735
ACEH BARAT,14524,5852
Aceh Barat,14524,5852
ACEH BESAR,12821,9205
Aceh Besar,12821,9205
PIDIE,13249,9134
Pidie,13249,9134
BIREUEN,12673,9092
Bireuen,12673,9092
ACEH UTARA,11459,7371
Aceh Utara,11459,7371
ACEH BARAT DAYA,14882,7114
Aceh Barat Daya,14882,7114
GAYO LUES,13852,7870
Gayo Lues,13852,7870
ACEH TAMIANG,16377,4880
Aceh Tamiang,16377,4880
NAGAN RAYA,13187,7175
Nagan Raya,13187,7175
ACEH JAYA,15694,7724
Aceh Jaya,15694,7724
BENER MERIAH,13872,11219
Bener Meriah,13872,11219
PIDIE JAYA,14161,10366
Pidie Jaya,14161,10366
KOTA BANDA ACEH,20149,15503
Kota Banda Aceh,20149,15503
KOTA SABANG,14494,10905
Kota Sabang,14494,10905
KOTA LANGSA,16074,11223
Kota Langsa,16074,11223
KOTA LHOKSEUMAWE,15262,11070
Kota Lhokseumawe,15262,11070
KOTA SUBULUSSALAM,12382,5236
Kota Subulussalam,12382,5236
SUMATERA UTARA,15762,8540
NIAS,8193,6723
Nias,8193,6723
MANDAILING NATAL,15437,9883
Mandailing Natal,15437,9883
TAPANULI SELATAN,17575,9136
Tapanuli Selatan,17575,9136
TAPANULI TENGAH,13945,10004
Tapanuli Tengah,13945,10004
TAPANULI UTARA,12886,11794
Tapanuli Utara,12886,11794
TOBA SAMOSIR,13203,12185
Toba Samosir / Toba,13203,12185
LABUHAN BATU,17760,8993
Labuhan Batu,17760,8993
ASAHAN,17250,9360
Asahan,17250,9360
SIMALUNGUN,16686,9954
Simalungun,16686,9954
DAIRI,11147,10314
Dairi,11147,10314
KARO,14213,10412
Karo,14213,10412
DELI SERDANG,18783,10178
Deli Serdang,18783,10178
LANGKAT,16878,7985
Langkat,16878,7985
NIAS SELATAN,10688,6610
Nias Selatan,10688,6610
HUMBANG HASUNDUTAN,8716,7572
Humbang Hasundutan,8716,7572
PAKPAK BHARAT,9468,8319
